"서울특별시","울산광역시",4742,-1742,5188,-1090,5691,-1108,5542,-805,6047,-411,5950,-1004,5102,-1648,4260,-2448,4086,-2763,3827,-3128,4085,-2977,4065,-2621,3584,-2655
"서울특별시","세종특별자치시",-,-,-,-,2998,1983,2851,1756,6481,4984,7550,5322,5943,3131,5813,2618,5861,2137,5919,1431,5546,439,5580,918,4892,342
"서울특별시","경기도",410735,124772,373771,101364,354135,99960,340801,94337,332785,83084,359337,119780,370760,136403,342433,107985,368536,135216,334293,91954,375867,109492,362116,124910,279731,60234
"서울특별시","강원도",22736,-62,23624,2065,22332,1008,20601,647,21173,999,22659,2629,21590,1713,21016,1255,19558,-859,19105,-790,20701,653,20974,1715,18374,1010
"서울특별시","충청북도",15461,900,15318,1565,14555,931,13783,574,14244,953,14379,1182,14087,1055,13302,341,13406,-377,12543,-1263,13068,-1506,13170,-351,11637,-860
"서울특별시","충청남도",24522,1407,24723,3049,22269,1631,21486,1806,21473,1632,22299,3155,21741,3015,21020,2438,20426,999,18522,-1962,19814,-1584,20129,771,17573,-365
"서울특별시","전라북도",17569,-1208,17755,155,16120,-1060,14909,-586,14566,-1336,14835,5,13835,-1158,13179,-1751,11989,-3675,11058,-4209,11638,-3515,11906,-1830,10196,-2439
"서울특별시","전라남도",16429,-1337,15974,-324,14765,-1053,14187,-408,14591,-16,14598,714,13065,-1503,12426,-1239,11209,-2706,11334,-2560,11210,-2872,11305,-820,9839,-1095
"서울특별시","경상북도",16042,-2353,15818,-1501,15191,-2503,14420,-2141,14456,-2340,15113,-1365,14236,-1851,12464,-3217,12017,-4442,11935,-4952,11987,-5949,12568,-3530,11095,-3831
"서울특별시","경상남도",15689,-2991,16039,-2290,14474,-3756,14447,-2394,14799,-2345,15220,-1561,13717,-3452,12692,-4620,11703,-6169,11369,-6957,11647,-6965,11583,-5716,10481,-6350
"서울특별시","제주특별자치도",5714,82,6133,865,6954,1342,7828,2418,9031,3292,10434,4083,10465,3831,10404,3195,9829,2109,8503,-10,9214,510,9394,896,8766,367
"부산광역시","전국",547800,28466,532906,24863,481652,20610,496161,17710,500802,15092,520591,13560,480407,21392,467471,28398,442854,26759,435058,23354,506176,14347,460226,18903,397410,13562
"부산광역시","서울특별시",23116,5698,23016,4200,21437,5302,19621,3468,20616,3296,19441,2432,19236,4174,19460,4976,19737,6644,20285,7480,20990,7781,20009,6931,19417,7885
"부산광역시","부산광역시",393530,0,376930,0,340468,0,358352,0,353282,0,376345,0,340521,0,321606,0,308712,0,302110,0,370291,0,325157,0,278956,0
"부산광역시","대구광역시",5066,16,4981,75,5225,9,5027,-516,5300,-857,4553,-629,4616,-244,4506,-334,4505,-200,4220,-946,4674,-779,4720,-338,4758,-277
"부산광역시","인천광역시",3230,492,3741,528,3180,489,2986,309,3143,55,3185,255,3092,476,2994,374,2902,795,3055,890,2980,599,2758,608,2709,683
"부산광역시","광주광역시",1338,55,1329,123,1430,-17,1047,-110,1856,189,1195,-223,1100,-164,1073,-62,1011,-106,992,-110,1142,-40,1139,11,1007,-26
"부산광역시","대전광역시",2266,290,2511,437,2436,423,2125,139,2150,-40,2209,155,2211,404,2159,397,2180,572,2172,429,2144,289,2124,328,2058,365
"부산광역시","울산광역시",11106,864,11866,2104,11465,1954,11600,1011,12305,1215,11810,555,10015,-231,9423,-1044,9076,-591,9084,-450,9111,-2484,9112,-1141,8189,-1189
"부산광역시","세종특별자치시",-,-,-,-,445,298,261,77,480,245,929,565,855,512,862,419,943,413,898,321,967,367,917,344,845,371
"부산광역시","경기도",19961,4840,20127,2536,17454,2909,15931,1670,16623,804,16441,1468,16401,2916,15837,2984,16705,4801,16422,5150,17440,5557,17339,5336,15456,4432
"부산광역시","강원도",2569,236,2548,260,2130,-68,2158,138,2085,-98,2305,-28,2104,-63,2221,193,1943,8,2077,266,2102,288,2102,286,1904,254
"부산광역시","충청북도",1986,368,1997,369,1779,290,1736,171,1968,36,2023,266,1877,318,2050,390,1980,574,1897,427,1924,308,2041,460,1820,363
"부산광역시","충청남도",3893,1210,3758,877,3334,926,2909,581,3664,744,3164,616,3160,950,3242,939,3053,967,3039,896,3006,672,3147,854,2719,728
"부산광역시","전라북도",1695,177,1993,342,1790,282,1519,48,1600,-21,1680,-51,1604,22,1566,21,1333,-11,1443,86,1565,201,1460,186,1340,92
"부산광역시","전라남도",3545,361,3743,542,3379,153,3367,219,3277,-1,3586,278,3380,101,3269,85,3369,292,3479,355,3373,97,3088,129,2941,308
"부산광역시","경상북도",10837,1702,10860,1769,10327,808,9776,567,10464,-50,10768,295,9400,116,9096,200,8763,174,8950,-80,9042,-812,9907,653,8161,-351
"부산광역시","경상남도",61882,12084,61631,10465,53445,6449,55750,9518,59858,9186,58222,6644,57887,11010,65114,17896,53816,11581,52284,8200,52857,2267,52489,3906,42713,-227
"부산광역시","제주특별자치도",1780,73,1875,236,1928,403,1996,420,2131,389,2735,962,2948,1095,2993,964,2826,846,2651,440,2568,36,2717,350,2417,151
"대구광역시","전국",382657,11840,383310,12747,359206,10564,363224,11351,365739,15526,364364,12940,337488,9260,333118,11936,335400,14242,336092,23673,364083,16835,329080,24319,276873,11519
"대구광역시","서울특별시",13915,3638,13310,2913,13838,3703,13673,3042,13735,3673,13038,2847,12802,3179,13011,4120,13749,5303,14515,6618,15216,6424,14136,5786,14020,6304
"대구광역시","부산광역시",5050,-16,4906,-75,5216,-9,5543,516,6157,857,5182,629,4860,244,4840,334,4705,200,5166,946,5453,779,5058,338,5035,277
"대구광역시","대구광역시",274649,0,276495,0,254661,0,258107,0,252642,0,259185,0,240722,0,236143,0,235621,0,231169,0,256068,0,221685,0,183787,0
"대구광역시","인천광역시",1968,340,2000,415,1979,277,2202,407,2015,281,1987,296,1962,411,1930,340,1968,466,2090,548,2112,535,2014,615,1949,497
"대구광역시","광주광역시",527,-9,577,5,711,43,622,-54,902,156,629,82,547,-30,515,-132,549,-65,575,30,624,69,630,62,529,-12
"대구광역시","대전광역시",1956,199,2063,215,2144,410,2219,457,2254,436,2085,418,1949,239,1978,454,2067,542,2167,694,2254,646,2239,737,2126,628
"대구광역시","울산광역시",3551,401,3586,712,3844,790,3833,551,3835,560,3675,486,3266,50,2604,-731,2601,-455,2830,-26,2941,-301,2729,-86,2562,-384
"대구광역시","세종특별자치시",-,-,-,-,261,170,233,124,526,334,879,660,642,379,827,487,887,510,818,357,879,368,841,377,867,340
"대구광역시","경기도",14596,3833,13320,2157,13581,2555,13659,2650,12813,1852,12322,2279,11918,2291,12354,3482,13227,4307,13556,5306,15024,6383,14014,5289,12206,3389
"대구광역시","강원도",2039,386,1843,140,1807,-31,1820,119,1884,335,1884,149,1748,-70,1657,121,1676,33,1712,277,1947,452,1866,381,1603,83
"대구광역시","충청북도",1784,129,1849,294,1943,238,1958,265,2026,210,1957,507,1771,254,1824,381,2017,567,2172,642,2245,697,2284,684,2013,407
"대구광역시","충청남도",2730,881,2647,519,2706,781,2599,561,2682,525,2509,510,2323,543,2578,824,2510,773,2550,809,2644,778,2588,808,2368,620
"대구광역시","전라북도",860,-64,1003,104,878,-155,985,-33,996,116,940,79,920,27,911,95,840,-23,828,32,940,40,915,63,839,47
"대구광역시","전라남도",985,160,947,109,977,101,948,-38,985,64,953,80,907,-52,897,-8,984,-37,989,111,1044,48,1007,138,969,45
